"direccion","barrio","metraje","moneda","precio","operacion","tipoPropiedad","fecha"
"Chacabuco 900","San Telmo",37,"dolares",76000,"venta","departamento",2015-08-20
"Chacabuco 900","San Telmo",53,"dolares",125000,"venta","departamento",2015-08-20
"Chacabuco 900","San Telmo",43,"dolares",90000,"venta","departamento",2015-08-20
"Guardia Vieja 3700","Almagro",42,"dolares",84578,"venta","departamento",2015-08-20
"Guardia Vieja 3700","Almagro",39,"dolares",80982,"venta","departamento",2015-08-20
"Guardia Vieja 3700","Almagro",43,"dolares",91058,"venta","departamento",2015-08-20
"Guardia Vieja 3700","Almagro",44,"dolares",89078,"venta","departamento",2015-08-20
"Medina, Anacleto 0","Villa Luro",78,"dolares",91000,"venta","departamento",2015-08-20
"Medina, Anacleto 0","Villa Luro",77,"dolares",85000,"venta","departamento",2015-08-20
"Medina, Anacleto 0","Villa Luro",60,"dolares",87000,"venta","departamento",2015-08-20
"Medina, Anacleto 0","Villa Luro",60,"dolares",88000,"venta","departamento",2015-08-20
"Av. Eva Perón 1300","Parque Chacabuco",80,"dolares",166000,"venta","departamento",2015-08-20
"Av. Eva Perón 1300","Parque Chacabuco",80,"dolares",180000,"venta","departamento",2015-08-20
"Combate De Los Pozos 1000","Monserrat",45,"dolares",85500,"venta","departamento",2015-08-20
"Melincue 2500","Villa del Parque",40,"dolares",85000,"venta","departamento",2015-08-20
"Venezuela 3500","Almagro",33,"dolares",70200,"venta","departamento",2015-08-20
"Venezuela 3500","Almagro",54,"dolares",72300,"venta","departamento",2015-08-20
"Venezuela 3500","Almagro",67,"dolares",91200,"venta","departamento",2015-08-20
"Avenida Estado De Israel 4600","Almagro",35,"dolares",73000,"venta","departamento",2015-08-20
"Avenida Estado De Israel 4600","Almagro",45,"dolares",99999,"venta","departamento",2015-08-20
"Avenida Estado De Israel 4600","Almagro",38,"dolares",75999,"venta","departamento",2015-08-20
"Avenida Estado De Israel 4600","Almagro",37,"dolares",85000,"venta","departamento",2015-08-20
"Soler 3300","Recoleta",22,"dolares",60000,"venta","departamento",2015-08-20
"Soler 3300","Recoleta",35,"dolares",98000,"venta","departamento",2015-08-20
"Soler 3300","Recoleta",36,"dolares",99000,"venta","departamento",2015-08-20
"Soler 3300","Recoleta",36,"dolares",100000,"venta","departamento",2015-08-20
"Av. Independencia 4100","Boedo",70,"dolares",175000,"venta","departamento",2015-08-20
"Otamendi 200","Caballito",50,"dolares",118000,"venta","departamento",2015-08-20
"Otamendi 200","Caballito",75,"dolares",190000,"venta","departamento",2015-08-20
"Estados Unidos 3000","Boedo",38,"dolares",78500,"venta","departamento",2015-08-20
"Estados Unidos 3000","Boedo",59,"dolares",105000,"venta","departamento",2015-08-20
"Estados Unidos 3000","Boedo",110,"dolares",132000,"venta","departamento",2015-08-20
"Franklin Roosevelt 3100","Belgrano",55,"pesos",2092066,"venta","departamento",2015-08-20
"Franklin Roosevelt 3100","Belgrano",39,"pesos",1341608,"venta","departamento",2015-08-20
"Deheza 3000","Saavedra",135,"pesos",3741380,"venta","departamento",2015-08-20
"Deheza 3000","Saavedra",119,"pesos",3638351,"venta","departamento",2015-08-20
"Deheza 3000","Saavedra",81,NA,NA,"venta","departamento",2015-08-20
"Avenida Del Libertador 5700","Belgrano",62,"pesos",2273289,"venta","departamento",2015-08-20
"Avenida Del Libertador 5700","Belgrano",54,"pesos",2344750,"venta","departamento",2015-08-20
"Avenida Del Libertador 5700","Belgrano",58,"pesos",2181839,"venta","departamento",2015-08-20
"Guatemala 5700","Palermo Hollywood",84,"dolares",179399,"venta","departamento",2015-08-20
"Guatemala 5700","Palermo Hollywood",69,"dolares",159422,"venta","departamento",2015-08-20
"Guatemala 5700","Palermo Hollywood",68,"dolares",195761,"venta","departamento",2015-08-20
"Jerónimo Salguero 2600","Palermo",60,"dolares",207000,"venta","departamento",2015-08-20
"Paraguay 3900","Palermo",39,"dolares",93859,"venta","departamento",2015-08-20
"Paraguay 3900","Palermo",66,"dolares",146960,"venta","departamento",2015-08-20
"Manuela Pedraza 3300","Coghlan",71,"pesos",1963874,"venta","departamento",2015-08-20
"Avenida Cerviño 3500","Palermo",190,"dolares",734580,"venta","departamento",2015-08-20
"Avenida Cerviño 3500","Palermo",196,"dolares",754600,"venta","departamento",2015-08-20
"Avenida Cerviño 3500","Palermo",88,"dolares",344292,"venta","departamento",2015-08-20
"Avenida Cerviño 3500","Palermo",96,"dolares",376857,"venta","departamento",2015-08-20
"Camargo 700","Villa Crespo",57,"dolares",135000,"venta","departamento",2015-08-20
"Camargo 700","Villa Crespo",78,"dolares",146000,"venta","departamento",2015-08-20
"Camargo 700","Villa Crespo",81,"dolares",215000,"venta","departamento",2015-08-20
"Camargo 700","Villa Crespo",56,"dolares",134000,"venta","departamento",2015-08-20
"Av Monroe 4200","Belgrano",65,"dolares",156960,"venta","departamento",2015-08-20
"Av Monroe 4200","Belgrano",63,"dolares",156310,"venta","departamento",2015-08-20
"Av Monroe 4200","Belgrano",60,"dolares",148220,"venta","departamento",2015-08-20
"Av Monroe 4200","Belgrano",43,"dolares",107500,"venta","departamento",2015-08-20
"Vuelta De Obligado 2400","Belgrano",36,"dolares",82264,"venta","departamento",2015-08-20
"Vuelta De Obligado 2400","Belgrano",35,"dolares",88248,"venta","departamento",2015-08-20
"Vuelta De Obligado 2400","Belgrano",36,"dolares",86116,"venta","departamento",2015-08-20
"Vuelta De Obligado 2400","Belgrano",36,"dolares",88298,"venta","departamento",2015-08-20
"Donado 4400","Saavedra",32,"pesos",809200,"venta","departamento",2015-08-20
"Donado 4400","Saavedra",70,"pesos",1533300,"venta","departamento",2015-08-20
"Avenida Melián 2500","Belgrano",40,"dolares",64840,"venta","departamento",2015-08-20
"Avenida Melián 2500","Belgrano",43,"dolares",71000,"venta","departamento",2015-08-20
